Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
7543	cuiv	497	ts ə w	ts ə w		expert	Hill2017	LingPy:SCA	
2082	lɔ̃³¹	569	l ɔ̃ ∼ ³¹	l ɔ̃ ∼ ³¹		expert	Hill2017	LingPy:SCA	
8400	a³¹◦xʐoʔ⁵⁵	590	a ³¹ + xʐ o ʔ ⁵⁵	a ³¹ + xʐ o ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
2083	laʔ³¹ŋau⁵⁵	585	l a ʔ ³¹ + ŋ a u ⁵⁵	l a ʔ ³¹ + ŋ a u ⁵⁵		expert	Hill2017	LingPy:SCA	
5497	so²²	497	s o ²²	s o - ²²		expert	Hill2017	LingPy:SCA	
2767	tʃɔ̱̃³⁵	279	tʃ ɔ̰̃ ∼ ³⁵	tʃ ɔ̰̃ ∼ ³⁵		expert	Hill2017	LingPy:SCA	
4316	the⁵⁵thɔʔ⁵⁵	627	tʰ e ⁵⁵ + tʰ ɔ ʔ ⁵⁵	tʰ e - ⁵⁵ + tʰ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4317	xje⁵¹ma⁵⁵	74	x j e ⁵¹ + m a ⁵⁵	x j e ⁵¹ + m a - ⁵⁵		expert	Hill2017	LingPy:SCA	
4318	thɔ̆i⁵⁵mɛ̃⁵⁵	205	tʰ ɔ̆ i ⁵⁵ + m ɛ̃ ∼ ⁵⁵	tʰ ɔ̆ i ⁵⁵ + m ɛ̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
4319	thə³³mo³³	205	tʰ ə ³³ + m o ³³	tʰ ə - ³³ + m o - ³³		expert	Hill2017	LingPy:SCA	
4320	thø⁵⁵mɛ³¹	205	tʰ ø ⁵⁵ + m ɛ ³¹	tʰ ø - ⁵⁵ + m ɛ - ³¹		expert	Hill2017	LingPy:SCA	
4321	thɛ⁵⁵thɔʔ⁵⁵	627	tʰ ɛ ⁵⁵ + tʰ ɔ ʔ ⁵⁵	tʰ ɛ - ⁵⁵ + tʰ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
5499	mju²²	339	m j u ²²	m j u ²²		expert	Hill2017	LingPy:SCA	
2089	kət³⁵	357	k ə t ³⁵	k ə t ³⁵		expert	Hill2017	LingPy:SCA	
4356	kan³¹	8	k a n ³¹	k a n ³¹		expert	Hill2017	LingPy:SCA	
4359	thu⁵¹	314	tʰ u ⁵¹	tʰ - u ⁵¹		expert	Hill2017	LingPy:SCA	
4361	thu⁵⁵	314	tʰ u ⁵⁵	tʰ - u ⁵⁵		expert	Hill2017	LingPy:SCA	
4364	thuː³³	314	tʰ uː ³³	tʰ - uː ³³		expert	Hill2017	LingPy:SCA	
1410	ŋŏ²¹tso²¹	690	ŋ ŏ ²¹ + ts o ²¹	ŋ ŏ ²¹ + ts o ²¹		expert	Hill2017	LingPy:SCA	
4367	kan³⁵	8	k a n ³⁵	k a n ³⁵		expert	Hill2017	LingPy:SCA	
2094	ŋɛ̱̃⁵⁵	153	ŋ ɛ̰̃ ∼ ⁵⁵	ŋ ɛ̰̃ ∼ ⁵⁵		expert	Hill2017	LingPy:SCA	
2096	ŋa̱n³³	153	ŋ a̰ n ³³	ŋ a̰ n ³³		expert	Hill2017	LingPy:SCA	
299	vɛ³¹tau³¹	22	v ɛ ³¹ + t a u ³¹	v ɛ ³¹ + t a u - ³¹		expert	Hill2017	LingPy:SCA	
302	vẽ³⁵tuk³¹	22	v ẽ ³⁵ + t u k ³¹	v ẽ ³⁵ + t u - k ³¹		expert	Hill2017	LingPy:SCA	
310	kʐə³¹	637	k ʐ ə ³¹	k ʐ ə ³¹		expert	Hill2017	LingPy:SCA	
5513	bɑ²²	148	b ɑ ²²	b ɑ - ²²		expert	Hill2017	LingPy:SCA	
312	ko̱²¹	637	k o̰ ²¹	k - o̰ ²¹		expert	Hill2017	LingPy:SCA	
313	kɔ̱³⁵	637	k ɔ̰ ³⁵	k - ɔ̰ ³⁵		expert	Hill2017	LingPy:SCA	
316	kjiː³³	637	k j iː ³³	k j iː ³³		expert	Hill2017	LingPy:SCA	
317	ɣə³⁵	637	ɣ ə ³⁵	ɣ - ə ³⁵		expert	Hill2017	LingPy:SCA	
319	kɯ³¹	637	k ɯ ³¹	k - ɯ ³¹		expert	Hill2017	LingPy:SCA	
325	m̥ɔʔ⁵⁵	117	m̥ ɔ ʔ ⁵⁵	m̥ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
327	ŋo̱ʔ⁵⁵	117	ŋ o̰ ʔ ⁵⁵	ŋ o̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
328	ŋa̱ʔ⁵⁵	117	ŋ a̰ ʔ ⁵⁵	ŋ a̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
331	ŋɔ̱ʔ⁵⁵	117	ŋ ɔ̰ ʔ ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
332	ŋɔ̱ʔ⁵⁵	117	ŋ ɔ̰ ʔ ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
334	ŋ̊ɔʔ⁵⁵	117	ŋ̊ ɔ ʔ ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
1421	ŋɔ³¹	503	ŋ ɔ ³¹	ŋ ɔ ³¹		expert	Hill2017	LingPy:SCA	
343	pɛ̃³¹	151	p ɛ̃ ∼ ³¹	p ɛ̃ ∼ ³¹		expert	Hill2017	LingPy:SCA	
348	pəŋ³⁵	151	p ə ŋ ³⁵	p ə ŋ ³⁵		expert	Hill2017	LingPy:SCA	
350	ŋaːt³¹	214	ŋ aː t ³¹	ŋ aː t ³¹		expert	Hill2017	LingPy:SCA	
4453	sam⁵⁵	455	s a m ⁵⁵	s a m ⁵⁵		expert	Hill2017	LingPy:SCA	
4456	mjit²¹	223	m j i t ²¹	m j i t ²¹		expert	Hill2017	LingPy:SCA	
4458	mjɔt³¹	223	m j ɔ t ³¹	m j ɔ t ³¹		expert	Hill2017	LingPy:SCA	
4460	mjiːt³¹	223	m j iː t ³¹	m j iː t ³¹		expert	Hill2017	LingPy:SCA	
4461	mjik³¹	223	m j i k ³¹	m j i k ³¹		expert	Hill2017	LingPy:SCA	
