ID,Form_ID,Cognateset_ID,Segment_Slice,Alignment,Source
1396,1396,205,,,
1397,1397,205,,,
5494,5494,1160,,,
1400,1400,205,,,
1401,1401,205,,,
1402,1402,206,,,
1403,1403,206,,,
5500,5500,1134,,,
5502,5502,613,,,
1407,1407,208,,,
5505,5505,479,,,
5506,5506,422,,,
1411,1411,208,,,
918,918,675,,,
1414,1414,208,,,
1415,1415,208,,,
5512,5512,27,,,
1417,1417,208,,,
5514,5514,26,,,
5516,5516,675,,,
5517,5517,10,,,
5518,5518,101,,,
1423,1423,518,,,
1424,1424,518,,,
5522,5522,1145,,,
1427,1427,518,,,
1428,1428,518,,,
1429,1429,518,,,
5527,5527,193,,,
5528,5528,111,,,
1433,1433,722,,,
5530,5530,341,,,
1435,1435,722,,,
1437,1437,722,,,
5534,5534,1086,,,
1439,1439,725,,,
5536,5536,374,,,
5537,5537,64,,,
5541,5541,963,,,
5542,5542,174,,,
1447,1447,726,,,
5544,5544,951,,,
5545,5545,133,,,
1450,1450,726,,,
1451,1451,726,,,
5548,5548,319,,,
5549,5549,700,,,
5550,5550,7,,,
925,925,676,,,
1456,1456,1162,,,
1458,1458,209,,,
1459,1459,209,,,
5556,5556,1158,,,
5558,5558,477,,,
1463,1463,209,,,
5560,5560,579,,,
5561,5561,417,,,
5564,5564,25,,,
5565,5565,76,,,
5567,5567,39,,,
1474,1474,731,,,
1475,1475,731,,,
5572,5572,454,,,
5573,5573,978,,,
5575,5575,439,,,
5577,5577,163,,,
1483,1483,212,,,
5581,5581,1183,,,
5582,5582,1183,,,
5583,5583,414,,,
1489,1489,210,,,
1490,1490,213,,,
1491,1491,215,,,
5588,5588,472,,,
5593,5593,1180,,,
5597,5597,1148,,,
5600,5600,1139,,,
5602,5602,1,,,
5603,5603,458,,,
5604,5604,221,,,
5605,5605,858,,,
5606,5606,9,,,
5607,5607,194,,,
5608,5608,440,,,
1513,1513,217,,,
5610,5610,296,,,
1515,1515,217,,,
5612,5612,950,,,
5613,5613,328,,,
5614,5614,636,,,
6188,6188,55,,,
5618,5618,40,,,
5619,5619,451,,,
5620,5620,2,,,
5623,5623,1108,,,
5625,5625,621,,,
5626,5626,723,,,
1531,1531,554,,,
1533,1533,554,,,
5630,5630,1142,,,
5633,5633,513,,,
5634,5634,939,,,
1539,1539,554,,,
5636,5636,921,,,
5638,5638,410,,,
5639,5639,145,,,
5640,5640,1051,,,
5642,5642,808,,,
5645,5645,1113,,,
5650,5650,1143,,,
1555,1555,221,,,
5652,5652,1133,,,
5653,5653,421,,,
1558,1558,221,,,
5656,5656,1128,,,
1561,1561,221,,,
1562,1562,221,,,
1563,1563,221,,,
5660,5660,53,,,
5662,5662,251,,,
5664,5664,688,,,
5665,5665,246,,,
1571,1571,6,,,
1572,1572,6,,,
5669,5669,447,,,
1575,1575,6,,,
1576,1576,6,,,
1577,1577,6,,,
5674,5674,389,,,
1581,1581,567,,,
3311,3311,389,,,
1584,1584,567,,,
1586,1586,567,,,
5683,5683,929,,,
