ID	Language_name	Language_ID	Parameter_name	Parameter_ID	Value	Form	Segments	Motivation_structure	Source	Comment
316	Lashi	lash1242	big	1202	kjiː³³  | 0964.33	kjiː³³	k j iː ³³	big	Huang1992,Matisoff2015	
317	Maru	maru1249	big	1202	ɣə³⁵  | 0964.31	ɣə³⁵	ɣ ə ³⁵	big	Huang1992,Matisoff2015	
319	Xiandao	xian1249	big	1202	kɯ³¹  | 0964.29	kɯ³¹	k ɯ ³¹	big	Huang1992,Matisoff2015	
325	Achang_Longchuan	long1373	the bird	937	m̥ɔʔ⁵⁵  | 0326.28	m̥ɔʔ⁵⁵	m̥ ɔ ʔ ⁵⁵	bird	Huang1992,Matisoff2015	
327	Atsi	zaiw1240	the bird	937	ŋo̱ʔ⁵⁵  | 0326.30	ŋo̱ʔ⁵⁵	ŋ o̰ ʔ ⁵⁵	bird	Huang1992,Matisoff2015	
328	Bola	pela1242	the bird	937	ŋa̱ʔ⁵⁵  | 0326.32	ŋa̱ʔ⁵⁵	ŋ a̰ ʔ ⁵⁵	bird	Huang1992,Matisoff2015	
331	Lashi	lash1242	the bird	937	ŋɔ̱ʔ⁵⁵  | 0326.33	ŋɔ̱ʔ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵	bird	Huang1992,Matisoff2015	
332	Maru	maru1249	the bird	937	ŋɔ̱ʔ⁵⁵  | 0326.31	ŋɔ̱ʔ⁵⁵	ŋ ɔ̰ ʔ ⁵⁵	bird	Huang1992,Matisoff2015	
334	Xiandao	xian1249	the bird	937	ŋ̊ɔʔ⁵⁵  | 0326.29	ŋ̊ɔʔ⁵⁵	ŋ̊ ɔ ʔ ⁵⁵	bird	Huang1992,Matisoff2015	
1421	Achang_Longchuan	long1373	five	493	ŋɔ³¹  | 0801.28	ŋɔ³¹	ŋ ɔ ³¹	five	Huang1992,Matisoff2015	
343	Bola	pela1242	to bite	1403	pɛ̃³¹  | 1753.32	pɛ̃³¹	p ɛ̃ ∼ ³¹	bite	Huang1992,Matisoff2015	bad concept
348	Maru	maru1249	to bite	1403	pəŋ³⁵  | 1753.31	pəŋ³⁵	p ə ŋ ³⁵	bite	Huang1992,Matisoff2015	bad concept
350	Lashi	lash1242	to bite	1403	ŋaːt³¹  | 1753.33	ŋaːt³¹	ŋ aː t ³¹		Huang1992,Matisoff2015	bad concept
4453	Achang_Longchuan	long1373	to think (reflect)	1415	sam⁵⁵  | 1726.28	sam⁵⁵	s a m ⁵⁵	think	Huang1992,Matisoff2015	
4456	Atsi	zaiw1240	to think (reflect)	1415	mjit²¹  | 1726.30	mjit²¹	m j i t ²¹	think	Huang1992,Matisoff2015	
4458	Bola	pela1242	to think (reflect)	1415	mjɔt³¹  | 1726.32	mjɔt³¹	m j ɔ t ³¹	think	Huang1992,Matisoff2015	
4460	Lashi	lash1242	to think (reflect)	1415	mjiːt³¹  | 1726.33	mjiːt³¹	m j iː t ³¹	think	Huang1992,Matisoff2015	
4461	Maru	maru1249	to think (reflect)	1415	mjik³¹  | 1726.31	mjik³¹	m j i k ³¹	think	Huang1992,Matisoff2015	
367	Achang_Longchuan	long1373	black	163	lɔk⁵⁵  | 1005.28	lɔk⁵⁵	l ɔ k ⁵⁵	black	Huang1992,Matisoff2015	
369	Atsi	zaiw1240	black	163	noʔ²¹  | 1005.30	noʔ²¹	n o ʔ ²¹	black	Huang1992,Matisoff2015	
370	Bola	pela1242	black	163	naʔ³¹  | 1005.32	naʔ³¹	n a ʔ ³¹	black	Huang1992,Matisoff2015	
4467	Achang_Longchuan	long1373	this	1214	xai⁵⁵  | 0942.28	xai⁵⁵	x a i ⁵⁵	this	Huang1992,Matisoff2015	
373	Lashi	lash1242	black	163	nɔːʔ³¹  | 1005.33	nɔːʔ³¹	n ɔː ʔ ³¹	black	Huang1992,Matisoff2015	
