ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
1433,achanglongchuan,1574,ȵə³¹,nʲ ə ³¹,,,
5530,rangoon,1405,nɑ²²mɛ²²,n ɑ ²² + m ɛ ²²,bad concept,,
1435,atsi,1574,mju²¹,m j u ²¹,,,
1437,bola,1574,mjuŋ³¹,m j u ŋ ³¹,,,
5534,rangoon,1335,pʰju²²,pʰ j u ²²,,,
1439,lashi,1574,kjaːm⁵⁵,k j aː m ⁵⁵,,,
5536,rangoon,1337,wɛʔ⁴,w ɛ ʔ ⁴,,,
5537,rangoon,1404,pʰjɑ̃u⁵³,pʰ j ɑ̃ u ∼ ⁵³,bad concept,,
5541,rangoon,1440,tʰwe⁵⁵,tʰ w e ⁵⁵,,,
5542,rangoon,1401,tθɑuʔ⁴,tθ ɑ u ʔ ⁴,,,
1447,atsi,2003,jui⁵¹,j u i ⁵¹,,,
5544,rangoon,1585,eʔ⁴,e ʔ ⁴,,,
5545,rangoon,937,ŋ̊ɛʔ⁴,ŋ̊ ɛ ʔ ⁴,,,
1450,lashi,2003,jaːu³¹,j aː u ³¹,,,
1451,maru,2003,juk³¹,j u k ³¹,,,
5548,rangoon,1313,lɑ⁵³,l ɑ ⁵³,,,
5549,rangoon,1336,sɑ⁵⁵,s ɑ ⁵⁵,,,
5550,rangoon,1417,pɔ²²,p ɔ ²²,bad concept,,
925,bola,1418,khøʔ³¹,kʰ ø ʔ ³¹,bad concept,,
1456,achanglongchuan,239,kăn⁵⁵tam³¹,k ă n ⁵⁵ + t a m ³¹,,,
1458,atsi,239,pan²¹,p a n ²¹,,,
1459,bola,239,pɛ̃³¹pɔ³⁵,p ɛ̃ ∼ ³¹ + p ɔ ³⁵,,,
5556,rangoon,1247,nɑ⁵⁵,n ɑ ⁵⁵,,,
5558,rangoon,1380,tθwɑ⁵⁵,tθ w ɑ ⁵⁵,,,
1463,maru,239,pəŋ³⁵,p ə ŋ ³⁵,,,
5560,rangoon,1214,(di²²),d i ²²,,,
5561,rangoon,1218,ʨo⁵⁵,tɕ o ⁵⁵,,,
5564,rangoon,78,ho²²,h o ²²,bad concept,,
5565,rangoon,78,tʰo²²,tʰ o ²²,bad concept,,
5567,rangoon,1645,to²²,t o ²²,bad concept,,
1474,lashi,1441,taːŋ³³,t aː ŋ ³³,,,
1475,maru,1441,tɔ̃³⁵,t ɔ̃ ∼ ³⁵,,,
5572,rangoon,1430,ʨɛ²²,tɕ ɛ ²²,,,
5573,rangoon,713,kʰo⁵⁵,kʰ o ⁵⁵,,,
5575,rangoon,1705,ɕiʔ⁴,ɕ i ʔ ⁴,,,
5577,rangoon,1304,kɑ⁵³le⁵⁵,k ɑ ⁵³ + l e ⁵⁵,,,
1483,achanglongchuan,249,mau³¹tum⁵⁵,m a u ³¹ + t u m ⁵⁵,,,
5581,rangoon,1393,ʨʰo²²,tɕʰ o ²²,,,
5582,rangoon,1393,ʥo²²,dʑ o ²²,,,
5583,rangoon,670,ɑ⁵³mjiʔ⁴,ɑ ⁵³ + m j i ʔ ⁴,,,
1489,lashi,249,sa̱i³³wan³¹,s a̰ i ³³ + w a n ³¹,,,
1490,maru,249,tʃam³¹thɔi³⁵,tʃ a m ³¹ + tʰ ɔ i ³⁵,,,
1491,xiandao,249,çaŋ⁵⁵cin³¹,ç a ŋ ⁵⁵ + c i n ³¹,,,
5588,rangoon,1205,ɕɑ²²,ɕ ɑ ²²,,,
5593,rangoon,602,pʰwɛʔ⁴,pʰ w ɛ ʔ ⁴,bad concept,,
5597,rangoon,946,tθwe⁵⁵,tθ w e ⁵⁵,,,
5600,rangoon,1402,no⁵³õ²²,n o ⁵³ + õ ∼ ²²,,,
5602,rangoon,857,u²²tɑ̃i²²,u ²² + t ɑ̃ i ∼ ²²,,,
5603,rangoon,857,ɑ⁵³si⁵³,ɑ ⁵³ + s i ⁵³,,,
5604,rangoon,503,pʰa⁵⁵,pʰ a ⁵⁵,,,
5605,rangoon,244,wɛ⁵⁵,w ɛ ⁵⁵,,,
5606,rangoon,244,bɛ²²,b ɛ ²²,,,
5607,rangoon,1201,ŋ̊ɛʔ⁴mwe⁵⁵,ŋ̊ ɛ ʔ ⁴ + m w e ⁵⁵,,,
5608,rangoon,1732,mo⁵⁵,m o ⁵⁵,,,
1513,bola,420,sak⁵⁵ja⁵⁵,s a k ⁵⁵ + j a ⁵⁵,,,
5610,rangoon,1224,ɑ⁵³tθɛ⁵⁵,ɑ ⁵³ + tθ ɛ ⁵⁵,,,
1515,maru,420,sa̱k⁵⁵jɔ³¹,s a̰ k ⁵⁵ + j ɔ ³¹,,,
5612,rangoon,1203,ɕe²²,ɕ e ²²,,,
5613,rangoon,639,tɑ̃u²²,t ɑ̃ u ∼ ²²,,,
5614,rangoon,1425,sẽ⁵⁵,s ẽ ∼ ⁵⁵,,,
6188,maru,1395,laŋ⁵⁵,l a ŋ ⁵⁵,,,
5618,rangoon,1703,ʨʰɑuʔ⁴,tɕʰ ɑ u ʔ ⁴,,,
5619,rangoon,1228,mje²²,m j e ²²,,,
5620,rangoon,1493,tiʔ⁴,t i ʔ ⁴,,,
5623,rangoon,1942,ni⁵⁵,n i ⁵⁵,bad concept,,
5625,rangoon,1446,lɑ²²,l ɑ ²²,,,
5626,rangoon,1574,pɔ²²,p ɔ ²²,,,
1531,achanglongchuan,1500,mi³¹,m i ³¹,,,
1533,atsi,1500,mji²¹,m j i ²¹,,,
5630,rangoon,1287,ʨʰɑ̃⁵⁵,tɕʰ ɑ̃ ∼ ⁵⁵,bad concept,,
5633,rangoon,1226,n̥iʔ⁴,n̥ i ʔ ⁴,,,
5634,rangoon,1261,sho²²,sʰ o ²²,,,
1539,xiandao,1500,mi⁵⁵,m i ⁵⁵,,,
