# Wordlist

# DATA
ID	COGID	POS	ALIGNMENT	CONCEPT	DOCULECT	ORIGINAL_CONCEPT	STEDT_SRCID	ORIGINAL_TAXNAME	ORIGINAL_ENTRY	MORPHEMES	NOTE	COGIDS	SOURCE	STEDT_GLOSS	CONCEPTICON_ID	STEDT_REFLEX	IPA	STEDT_CONCEPT	TOKENS	STEDT_RN	STEDT_ANALYSIS	STEDT_ID
1248	473	other	v a - ³⁵	far	Maru	far	0974.31	Langsu (Luxi) TBL	va³⁵  | 0974.31	far		266	TBL		1406	va³⁵	va³⁵	far / distant	v a ³⁵	395207	622	8944
1249	473	other	v ɛ - ³¹	far	Xiandao	far	0974.29	Achang (Xiandao) TBL	vɛ³¹  | 0974.29	far		266	TBL		1406	vɛ³¹	vɛ³¹	far / distant	v ɛ ³¹	395205	622	922
1243	473	other	v e - ²¹	far	Atsi	far	0974.30	Atsi [Zaiwa] TBL	ve²¹  | 0974.30	far		266	TBL		1406	ve²¹	ve²¹	far / distant	v e ²¹	395206	622	5035
#
1421	518	other	ŋ ɔ ³¹	five	Achang_Longchuan	five	0801.28	Achang (Longchuan) TBL	ŋɔ³¹  | 0801.28	five		290	TBL		493	ŋɔ³¹	ŋɔ³¹	five	ŋ ɔ ³¹	386258	1306	2683
1423	518	other	ŋ o ²¹	five	Atsi	five	0801.30	Atsi [Zaiwa] TBL	ŋo²¹  | 0801.30	five		290	TBL		493	ŋo²¹	ŋo²¹	five	ŋ o ²¹	386260	1306	5146
1424	518	other	ŋ a ³¹	five	Bola	five	0801.32	Bola (Luxi) TBL	ŋa³¹  | 0801.32	five		290	TBL		493	ŋa³¹	ŋa³¹	five	ŋ a ³¹	386262	1306	8131
1427	518	other	ŋ - ³³	five	Lashi	five	0801.33	Leqi (Luxi) TBL	ŋ³³  | 0801.33	five		290	TBL		493	ŋ³³	ŋ³³	five	ŋ ³³	386263	1306	7061
5524	518	other	ŋ ɑ ⁵⁵	five	Rangoon		0801.27			five		290	TBL		493	ŋɑ⁵⁵	ŋɑ⁵⁵	five	ŋ ɑ ⁵⁵	386257	1306	5940
1429	518	other	ŋ ɔ ³¹	five	Xiandao	five	0801.29	Achang (Xiandao) TBL	ŋɔ³¹  | 0801.29	five		290	TBL		493	ŋɔ³¹	ŋɔ³¹	five	ŋ ɔ ³¹	386259	1306	996
1428	518	other	ŋ ɔ ⁵⁵	five	Maru	five	0801.31	Langsu (Luxi) TBL	ŋɔ⁵⁵  | 0801.31	five		290	TBL		493	ŋɔ⁵⁵	ŋɔ⁵⁵	five	ŋ ɔ ⁵⁵	386261	1306	9245
#
1531	554	other	m - i - ³¹	four	Achang_Longchuan	four	0800.28	Achang (Longchuan) TBL	mi³¹  | 0800.28	four		308	TBL		1500	mi³¹	mi³¹	four	m i ³¹	386207	2409	5752
1533	554	other	m j i - ²¹	four	Atsi	four	0800.30	Atsi [Zaiwa] TBL	mji²¹  | 0800.30	four		308	TBL		1500	mji²¹	mji²¹	four	m j i ²¹	386209	2409	10003
1537	554	other	m - e i ³³	four	Lashi	four	0800.33	Leqi (Luxi) TBL	mei³³  | 0800.33	four		308	TBL		1500	mei³³	mei³³	four	m e i ³³	386212	2409	9541
5418	1165	other	l e ⁵⁵	four	Rangoon		0800.27			four		308	TBL		1500	le⁵⁵	le⁵⁵	four	l e ⁵⁵	386206	2409	4177
1534	554	other	m - ə i ³¹	four	Bola	four	0800.32	Bola (Luxi) TBL	məi³¹  | 0800.32	four		308	TBL		1500	məi³¹	məi³¹	four	m ə i ³¹	386211	2409	1236
1539	554	other	m - i - ⁵⁵	four	Xiandao	four	0800.29	Achang (Xiandao) TBL	mi⁵⁵  | 0800.29	four		308	TBL		1500	mi⁵⁵	mi⁵⁵	four	m i ⁵⁵	386208	2409	12767
#
5372	567	other	p j e - ⁵³	full	Rangoon		0984.27			full		318	TBL		1429	pje⁵³	pje⁵³	full	p j e ⁵³	395729	111	8865
1581	567	other	p ʐ ə ŋ ³⁵	full	Achang_Longchuan	full adj	0984.28	Achang (Longchuan) TBL	pʐəŋ³⁵  | 0984.28	full		318	TBL		1429	pʐəŋ³⁵	pʐəŋ³⁵	full	p ʐ ə ŋ ³⁵	395730	111	8793
1584	567	other	p j i ŋ ⁵⁵	full	Atsi	full adj	0984.30	Atsi [Zaiwa] TBL	pjiŋ⁵⁵  | 0984.30	full		318	TBL		1429	pjiŋ⁵⁵	pjiŋ⁵⁵	full	p j i ŋ ⁵⁵	395732	111	8996
1586	567	other	p j a ŋ ³⁵	full	Bola	full adj	0984.32	Bola (Luxi) TBL	pjaŋ³⁵  | 0984.32	full		318	TBL		1429	pjaŋ³⁵	pjaŋ³⁵	full	p j a ŋ ³⁵	395734	111	5299
1589	567	other	p j əː ŋ ⁵⁵	full	Lashi	full adj	0984.33	Leqi (Luxi) TBL	pjəːŋ⁵⁵  | 0984.33	full		318	TBL		1429	pjəːŋ⁵⁵	pjəːŋ⁵⁵	full	p j əː ŋ ⁵⁵	395735	111	8971
1590	567	other	p j a ŋ ⁵⁵	full	Maru	full adj	0984.31	Langsu (Luxi) TBL	pjaŋ⁵⁵  | 0984.31	full		318	TBL		1429	pjaŋ⁵⁵	pjaŋ⁵⁵	full	p j a ŋ ⁵⁵	395733	111	8926
1592	567	other	p - ɯ ŋ ³⁵	full	Xiandao	full adj	0984.29	Achang (Xiandao) TBL	pɯŋ³⁵  | 0984.29	full		318	TBL		1429	pɯŋ³⁵	pɯŋ³⁵	full	p ɯ ŋ ³⁵	395731	111	532
#
5664	688	other	l e - ⁵⁵	heavy	Rangoon		1014.27			heavy		355	TBL		1210	le⁵⁵	le⁵⁵	heavy	l e ⁵⁵	397252	2415	4178
1841	688	other	l i - ³¹	heavy	Achang_Longchuan	heavy	1014.28	Achang (Longchuan) TBL	li³¹  | 1014.28	heavy		355	TBL		1210	li³¹	li³¹	heavy	l i ³¹	397253	2415	5634
1843	688	other	l a i ²¹	heavy	Atsi	heavy	1014.30	Atsi [Zaiwa] TBL	lai²¹  | 1014.30	heavy		355	TBL		1210	lai²¹	lai²¹	heavy	l a i ²¹	397255	2415	7552
1844	688	other	l i - ³¹	heavy	Bola	heavy	1014.32	Bola (Luxi) TBL	li³¹  | 1014.32	heavy		355	TBL		1210	li³¹	li³¹	heavy	l i ³¹	397257	2415	5224
1847	688	other	l aː i ³³	heavy	Lashi	heavy	1014.33	Leqi (Luxi) TBL	laːi³³  | 1014.33	heavy		355	TBL		1210	laːi³³	laːi³³	heavy	l aː i ³³	397258	2415	11636
1848	688	other	l a - ³⁵	heavy	Maru	heavy	1014.31	Langsu (Luxi) TBL	la³⁵  | 1014.31	heavy		355	TBL		1210	la³⁵	la³⁵	heavy	l a ³⁵	397256	2415	12525
1849	688	other	l a i ³¹	heavy	Xiandao	heavy	1014.29	Achang (Xiandao) TBL	lai³¹  | 1014.29	heavy		355	TBL		1210	lai³¹	lai³¹	heavy	l a i ³¹	397254	2415	12722
#
4248	69	other	m j a̰ː ŋ ³³	high / tall	Lashi	high / tall	0968.33	Leqi (Luxi) TBL	mja̱ːŋ³³  | 0968.33	high		749	TBL		1265	mja̱ːŋ³³	mja̱ːŋ³³	high / tall	m j a̰ː ŋ ³³	394887	2597	8963
