ID	RN	ANALYSIS	GANALYSIS	OANALYSIS	REFLEX	CONCEPT	GFN	LGID	DOCULECT	GRPID	GRPNO	GRP	CITATION	SRCABBR	SRCID	SEMKEY	CHAPTERTITLE	NUM_NOTES
406	380241				ɑ¹tθɑk⁴	age	n	1822	Burmese (Written)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.26	9.1.2	Months and Years	0
2962	380245				tsan⁵¹vut²¹	age	n	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.30	9.1.2	Months and Years	0
5347	380243				a³¹sak⁵⁵	age	n	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.28	9.1.2	Months and Years	0
6107	380242				ɑ⁵³tθɛʔ⁴	age	n	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.27	9.1.2	Months and Years	0
6427	380247				a³¹sak³¹	age	n	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.32	9.1.2	Months and Years	0
6699	380248				tsan³¹wɔt³¹	age	n	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.33	9.1.2	Months and Years	0
9740	380244				a³¹sak⁵⁵	age	n	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.29	9.1.2	Months and Years	0
10624	380246				tsəŋ³¹vɛʔ⁵⁵	age	n	1828	Langsu (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	0685.31	9.1.2	Months and Years	0
760	418497				tsui³⁵	agree / consent	v.	1825	Achang (Xiandao)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1480.29	8.3.1.4.1	Agree	0
1923	418500				ka̱m³⁵	agree / consent	v.	1829	Bola (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1480.32	8.3.1.4.1	Agree	0
3622	418495				tɕhĩ²²	agree / consent	v.	1823	Burmese (Rangoon)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1480.27	8.3.1.4.1	Agree	0
4563	418501				ka̱ːm³³	agree / consent	v.	1830	Leqi (Luxi)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1480.33	8.3.1.4.1	Agree	0
5458	418496				ka³⁵	agree / consent	v.	1824	Achang (Longchuan)	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1480.28	8.3.1.4.1	Agree	0
7320	418498				ka̱m⁵⁵	agree / consent	v.	1827	Atsi [Zaiwa]	44	6.1.1	Burmish	Huang and Dai 92 TBL	TBL	1480.30	8.3.1.4.1	Agree	0
